product_id,name,brand,price,type,ingredients_parsed
p00000,The Ordinary Natural Moisturising Factors + HA 30ml,The Ordinary,5.2,Moisturiser,"[""water"", ""caprylic/capric triglyceride"", ""cetyl alcohol"", ""propanediol"", ""stearyl alcohol"", ""glycerin"", ""sodium hyaluronate"", ""arginine"", ""aspartic acid"", ""glycine"", ""alanine"", ""serine"", ""valine"", ""isoleucine"", ""proline"", ""threonine"", ""histidine"", ""phenylalanine"", ""glucose"", ""maltose"", ""fructose"", ""trehalose"", ""sodium pca"", ""pca"", ""sodium lactate"", ""urea"", ""allantoin"", ""linoleic acid"", ""oleic acid"", ""phytosteryl canola glycerides"", ""palmitic acid"", ""stearic acid"", ""lecithin"", ""triolein"", ""tocopherol"", ""carbomer"", ""isoceteth-20"", ""polysorbate 60"", ""sodium chloride"", ""citric acid"", ""trisodium ethylenediamine disuccinate"", ""pentylene glycol"", ""triethanolamine"", ""sodium hydroxide"", ""phenoxyethanol"", ""chlorphenesin""]"
p00001,CeraVe Facial Moisturising Lotion SPF 25 52ml,CeraVe,13.0,Moisturiser,"[""water"", ""homosalate"", ""glycerin"", ""octocrylene"", ""ethylhexyl"", ""salicylate"", ""niacinamide"", ""silica"", ""butyl methoxydibenzoylmethane"", ""dimethicone"", ""cetearyl alcohol"", ""peg-100 stearate"", ""glyceryl stearate"", ""phenoxyethanol"", ""stearic acid"", ""behentrimonium methosulfate"", ""caprylyl glycol"", ""palmitic acid"", ""ammonium polyacryloyldimethyl taurate"", ""xanthan gum"", ""disodium edta"", ""tocopherol"", ""sodium lauroyl lactylate"", ""myristic acid"", ""sodium hyaluronate"", ""ceramide np"", ""ceramide ap"", ""phytosphingosine"", ""cholesterol"", ""cerbomer"", ""ethylhexyglycerin"", ""ceramide eop""]"
p00002,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,The Ordinary,6.2,Moisturiser,"[""water"", ""sodium hyaluronate"", ""sodium hyaluronate crosspolymer"", ""panthenol"", ""ahnfeltia concinna extract"", ""glycerin"", ""pentylene glycol"", ""propanediol"", ""polyacrylate crosspolymer-6"", ""ppg-26-buteth-26"", ""peg-40 hydrogenated castor oil"", ""trisodium ethylenediamine disuccinate"", ""citric acid"", ""ethoxydiglycol"", ""caprylyl glycol"", ""hexylene glycol"", ""ethylhexylglycerin"", ""phenoxyethanol"", ""chlorphenesin""]"
p00003,AMELIORATE Transforming Body Lotion 200ml,AMELIORATE,22.5,Moisturiser,"[""aqua/water/eau"", ""ammonium lactate"", ""c12-15 alkyl benzoate"", ""glycerin"", ""prunus amygdalus dulcis  oil"", ""ethylhexyl palmitate"", ""cetearyl alcohol"", ""glyceryl stearate"", ""peg-100 stearate"", ""dimethicone"", ""hydroxyethylcellulose"", ""phenoxyethanol"", ""cetearyl glucoside"", ""xanthan gum"", ""sodium benzoate"", ""sodium stearoyl glutamate"", ""tocopheryl acetate"", ""fragrance"", ""potassium sorbate"", ""pentylene glycol"", ""hydrolyzed milk protein"", ""disodium edta"", ""lactic acid"", ""serine"", ""sodium lactate"", ""sorbitol"", ""urea"", ""linalool"", ""citronellol"", ""sodium chloride"", ""citrus aurantium dulcis  oil"", ""limonene"", ""coumarin"", ""juniperus mexicana  oil"", ""alpha-isomethyl ionone"", ""allantoin"", ""pelargonium graveolens  oil"", ""geraniol""]"
p00004,CeraVe Moisturising Cream 454g,CeraVe,16.0,Moisturiser,"[""purified water"", ""glycerin"", ""ceteareth-20 and cetearyl alcohol"", ""caprylic/capric triglyceride"", ""behentrimonium methosulfate"", ""cetearyl alcohol"", ""cetyl alcohol"", ""ceramide 3"", ""ceramide 6-ii"", ""ceramide 1"", ""hyaluronic acid"", ""cholesterol"", ""petrolatum"", ""dimethicone"", ""potassium phosphate"", ""dipotassium phosphate"", ""sodium lauroyl lactylate"", ""disodium edta"", ""phenoxyethanol"", ""methylparaben"", ""propylparaben"", ""phytosphingosine"", ""carbomer"", ""xanthan gum""]"
p00005,CeraVe Moisturising Lotion 473ml,CeraVe,15.0,Moisturiser,"[""water"", ""glycerin"", ""caprylic/capric triglyceride"", ""cetearyl alcohol"", ""cetyl alcohol"", ""dimethicone"", ""phenoxyethanol"", ""polysorbate 20"", ""ceteareth-20"", ""behentrimonium methosulfate"", ""polyglyceryl-3 diisostearate"", ""sodium lauroyl lactylate"", ""ethylhexylglycerin"", ""potassium phosphate"", ""disodium edta"", ""dipotassium phosphate"", ""ceramide np"", ""ceramide ap"", ""phytosphingosine"", ""cholesterol"", ""xanthan gum"", ""carbomer"", ""sodium hyaluronate"", ""tocopherol"", ""ceramide eop""]"
p00006,CeraVe Facial Moisturising Lotion No SPF 52ml,CeraVe,13.0,Moisturiser,"[""purified water"", ""glycerin"", ""caprylic/capric triglycerides"", ""niacinamide"", ""cetearyl alcohol"", ""ceramide 3"", ""ceramide 6-ii"", ""ceramide 1"", ""phytosphingosine"", ""hyaluronic acid"", ""sodium hydroxide"", ""dimethicone"", ""behentrimonium methosulfate"", ""ceteareth-20"", ""polyglyceryl-3 diisostearate"", ""cholesterol"", ""xanthan gum"", ""carbomer"", ""disodium edta"", ""dipotassium phosphate"", ""potassium phosphate"", ""sodium lauroyl lactylate""]"
p00007,The Ordinary Natural Moisturizing Factors + HA 100ml,The Ordinary,6.8,Moisturiser,"[""water"", ""caprylic/capric triglyceride"", ""cetyl alcohol"", ""propanediol"", ""stearyl alcohol"", ""glycerin"", ""sodium hyaluronate"", ""arginine"", ""aspartic acid"", ""glycine"", ""alanine"", ""serine"", ""valine"", ""isoleucine"", ""proline"", ""threonine"", ""histidine"", ""phenylalanine"", ""glucose"", ""maltose"", ""fructose"", ""trehalose"", ""sodium pca"", ""pca"", ""sodium lactate"", ""urea"", ""allantoin"", ""linoleic acid"", ""oleic acid"", ""phytosteryl canola glycerides"", ""palmitic acid"", ""stearic acid"", ""lecithin"", ""triolein"", ""tocopherol"", ""carbomer"", ""isoceteth-20"", ""polysorbate 60"", ""sodium chloride"", ""citric acid"", ""trisodium ethylenediamine disuccinate"", ""pentylene glycol"", ""triethanolamine"", ""sodium hydroxide"", ""phenoxyethanol"", ""chlorphenesin""]"
p00008,CeraVe Smoothing Cream 177ml,CeraVe,12.0,Moisturiser,"[""purified water"", ""glycerin"", ""behentrimonium methosulfate"", ""cetearyl alcohol"", ""mineral oil"", ""glyceryl stearate se"", ""ammonium lactate"", ""salicylic acid"", ""triethanolamine"", ""cetyl alcohol"", ""niacinamide"", ""peg-100 stearate"", ""cholecalciferol"", ""ceramide 3"", ""ceramide 6-ii"", ""ceramide 1"", ""cholesterol"", ""phytosphingosine"", ""hyaluronic acid"", ""phenoxyethanol"", ""dimethicone"", ""methylparaben"", ""edetate disodium"", ""propylparaben"", ""sodium lauroyl lactylate"", ""carbomer"", ""xanthan gum""]"
p00009,Clinique Moisture Surge 72 Hour Moisturiser 75ml,Clinique,37.0,Moisturiser,"[""water\\aqua\\eau"", ""dimethicone"", ""butylene glycol"", ""glycerin"", ""trisiloxane"", ""trehalose"", ""sucrose"", ""ammonium acryloyldimethyltaurate/vp copolymer"", ""hydroxyethyl urea"", ""camellia sinensis  leaf extract"", ""silybum marianum  extract"", ""betula alba  bark extract"", ""saccharomyces lysate extract"", ""aloe barbadensis leaf water"", ""thermus thermophillus ferment"", ""caffeine"", ""sorbitol"", ""palmitoyl hexapeptide-12"", ""sodium hyaluronate"", ""caprylyl glycol"", ""oleth-10"", ""sodium polyaspartate"", ""saccharide isomerate"", ""hydrogenated lecithin"", ""tocopheryl acetate"", ""acrylates/c10-30 alkyl acrylate crosspolymer"", ""glyceryl polymethacrylate"", ""tromethamine"", ""peg-8"", ""hexylene glycol"", ""magnesium ascorbyl phosphate"", ""disodium edta"", ""bht"", ""phenoxyethanol"", ""red 4"", ""yellow 5 ""]"
